Time,THCP,THCP01,THCP02,THCP03,THCP04,THCP05,THCP06,THCP07,THCP08,THCP09,THCP10,THCP11,THCP12,THCP13,THCP14,THCP15,THCP16,THCP17,GAS1,GAS2,GAS3,GAS4,GAS5,GAS6,GAS7,GAS8,GAS9,GAS10,GAS11,GAS12,GAS13,GAS14,GAS15,GAS16,GAS17,GAS18,GAS19,GAS20,GAS21,GAS22,GAS23,GAS24,GAS25,Average_of_temperature
0.0,19.999997,19.999997,19.999997,19.999997,19.999997,19.999997,19.999997,19.999997,19.999997,19.999997,19.999997,19.999997,19.999997,19.999997,19.999997,19.999997,19.999997,19.999997,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
0.39223227,19.999997,19.999997,19.999997,19.999997,19.999997,19.999997,19.999997,19.999997,19.999997,19.999997,19.999997,19.999997,19.999997,19.999997,19.999997,19.999997,19.999997,19.999997,20.000001,20.000004,20.000005,19.999998,20.000002,20.000003,19.999993,19.999999,20.0,20.000001,20.000001,19.999999,19.999998,19.999999,20.000001,19.999999,20.000002,19.999997,20.000002,20.000003,20.000001,20.000001,20.000005,20.000001,19.999997,20.000000479999997
0.78446454,19.999998,19.999996,19.999997,19.999998,19.999998,19.999997,19.999998,19.999998,19.999996,19.999997,19.999998,19.999998,19.999997,19.999997,19.999997,19.999997,19.999997,19.999997,20.000007,20.000017,20.000023,19.99999,20.000009,20.000014,19.999966,19.999993,20.0,20.000005,20.000006,19.999995,19.999991,19.999993,20.000003,19.999997,20.000011,19.999984,20.00001,20.000014,20.000004,20.000003,20.000023,20.000003,19.999986,20.00000188
0.98058068,19.999998,19.999995,19.999996,19.999998,19.999999,19.999998,19.999998,19.999998,19.999995,19.999996,19.999998,19.999998,19.999997,19.999998,19.999996,19.999997,19.999996,19.999998,20.000011,20.000027,20.000036,19.999984,20.000014,20.000022,19.999946,19.999989,19.999999,20.000009,20.000009,19.999992,19.999986,19.999989,20.000005,19.999994,20.000018,19.999975,20.000016,20.000021,20.000007,20.000004,20.000035,20.000005,19.999977,20.0000028
1.3728129,19.999999,19.999993,19.999996,19.999998,20.0,19.999998,19.999998,19.999999,19.999994,19.999996,19.999998,19.999999,19.999996,19.999998,19.999996,19.999996,19.999994,19.999998,20.000015,20.000035,20.000048,19.999978,20.000019,20.00003,19.999926,19.999985,19.999999,20.000012,20.000012,19.999989,19.999981,19.999986,20.000008,19.999992,20.000024,19.999966,20.000022,20.000029,20.000009,20.000006,20.000047,20.000006,19.999969,20.00000372
1.5689291,19.999999,19.999991,19.999995,19.999999,20.000001,19.999998,19.999998,20.0,19.999992,19.999995,19.999999,20.0,19.999995,19.999998,19.999995,19.999995,19.999993,19.999999,20.000019,20.000043,20.00006,19.999973,20.000023,20.000037,19.999906,19.999981,19.999998,20.000015,20.000015,19.999986,19.999976,19.999982,20.00001,19.999989,20.000031,19.999957,20.000027,20.000036,20.000012,20.000008,20.000059,20.000006,19.999961,20.000004399999998
1.9611614,20.0,19.999988,19.999994,19.999999,20.000002,19.999998,19.999999,20.000001,19.99999,19.999993,19.999999,20.000001,19.999995,19.999998,19.999995,19.999995,19.999991,19.999999,20.000023,20.000051,20.000072,19.999968,20.000028,20.000044,19.999885,19.999977,19.999998,20.000018,20.000018,19.999983,19.999971,19.999978,20.000012,19.999987,20.000037,19.999949,20.000033,20.000043,20.000014,20.00001,20.00007,20.000007,19.999953,20.00000516
2.1572775,20.000001,19.999986,19.999992,20.0,20.000004,19.999998,19.999999,20.000002,19.999987,19.999992,20.0,20.000002,19.999994,19.999998,19.999994,19.999994,19.999988,20.0,20.000027,20.000058,20.000084,19.999963,20.000032,20.000051,19.999865,19.999972,19.999998,20.000021,20.000021,19.99998,19.999965,19.999975,20.000015,19.999984,20.000042,19.99994,20.000038,20.000049,20.000016,20.000012,20.000081,20.000007,19.999945,20.000005640000005
2.5495098,20.000003,19.999982,19.999991,20.0,20.000006,19.999999,19.999999,20.000003,19.999984,19.999991,20.0,20.000004,19.999993,19.999999,19.999993,19.999993,19.999986,20.000001,20.000031,20.000064,20.000096,19.999958,20.000035,20.000058,19.999846,19.999968,19.999997,20.000024,20.000023,19.999977,19.99996,19.999971,20.000018,19.999981,20.000048,19.999932,20.000042,20.000056,20.000018,20.000015,20.000091,20.000007,19.999937,20.000006120000002
2.7456259,20.000004,19.999979,19.999989,20.000001,20.000008,19.999999,20.0,20.000005,19.999981,19.999989,20.000001,20.000005,19.999992,19.999999,19.999991,19.999992,19.999983,20.000002,20.000035,20.00007,20.000107,19.999954,20.000039,20.000065,19.999826,19.999963,19.999996,20.000027,20.000026,19.999974,19.999954,19.999968,20.00002,19.999978,20.000053,19.999924,20.000047,20.000062,20.00002,20.000017,20.000101,20.000006,19.999928,20.0000064
